"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NME23",1.82791898758277e-148,0.493090734943441,0.683,0.114,3.99473415546338e-144,"10","NME2"
"PRKCD",2.82519368949678e-148,0.267995150401325,0.282,0.021,6.17417828902626e-144,"10","PRKCD"
"PFDN52",2.87958538997715e-148,0.359862048927018,0.683,0.112,6.29304591125607e-144,"10","PFDN5"
"C12orf751",2.95267405065454e-148,0.449405336188262,0.637,0.1,6.45277387030042e-144,"10","C12orf75"
"KIAA1191",3.02484737106761e-148,0.260818988900673,0.514,0.069,6.61050144473116e-144,"10","KIAA1191"
"LAMTOR52",4.35433372004472e-148,0.420834996715148,0.517,0.07,9.51596091178574e-144,"10","LAMTOR5"
"BOD1L1",4.47838668458201e-148,0.345287414514066,0.328,0.029,9.78706626048553e-144,"10","BOD1L1"
"JUND2",5.6629432598974e-148,0.629098863378366,0.784,0.145,1.23757962001798e-143,"10","JUND"
"GOT2",6.55541560849442e-148,0.422967426021926,0.405,0.044,1.43262052708037e-143,"10","GOT2"
"LGALS8",7.35665775553421e-148,0.290614588908997,0.471,0.058,1.60772398589445e-143,"10","LGALS8"
"CAT",9.25174580838625e-148,0.408716951279564,0.259,0.018,2.02187652896473e-143,"10","CAT"
"NUFIP2",1.33502530979049e-147,0.33636427079555,0.39,0.041,2.91756431201614e-143,"10","NUFIP2"
"RPS103",1.71429484250989e-147,1.2190078070528,0.931,0.206,3.74641994882111e-143,"10","RPS10"
"RPL37P62",2.41145957932163e-147,0.710366178936787,0.467,0.059,5.27000376464948e-143,"10","RPL37P6"
"RPL23AP742",3.70016085632821e-147,0.694454292297429,0.606,0.093,8.08633153541967e-143,"10","RPL23AP74"
"ACTR21",3.95659349828367e-147,0.414790857821975,0.486,0.063,8.64673943114914e-143,"10","ACTR2"
"GPR137",5.47605752743813e-147,0.442568915186825,0.266,0.019,1.19673761204633e-142,"10","GPR137"
"WIPF2",7.09981182753412e-147,0.345384415115955,0.649,0.104,1.55159287678931e-142,"10","WIPF2"
"EIF3H2",7.39544733388814e-147,0.354748044273794,0.691,0.115,1.61620106034791e-142,"10","EIF3H"
"TRAPPC52",7.42355436778246e-147,0.46852895842528,0.49,0.064,1.62234357153518e-142,"10","TRAPPC5"
"MGLL",8.10191607084967e-147,0.456851080575052,0.274,0.021,1.77059273812349e-142,"10","MGLL"
"CAPZA22",8.73506813573944e-147,0.489791593689348,0.556,0.081,1.9089617903845e-142,"10","CAPZA2"
"RPN11",9.34066074351315e-147,0.36533526049,0.459,0.056,2.04130799888736e-142,"10","RPN1"
"VCP",9.51596679277179e-147,0.256836313186497,0.625,0.097,2.07961938289235e-142,"10","VCP"
"RAB1B2",1.06492536463137e-146,0.413403121193581,0.51,0.068,2.3272878918654e-142,"10","RAB1B"
"IL1R1",1.11265912337934e-146,0.411069451322056,0.274,0.02,2.43160524823322e-142,"10","IL1R1"
"EIF1AX1",1.25506978598587e-146,0.403456081022297,0.641,0.103,2.74282951029352e-142,"10","EIF1AX"
"CNOT11",1.46703752603393e-146,0.331605965680581,0.347,0.033,3.20606380939455e-142,"10","CNOT11"
"TSTD11",1.80473893443807e-146,0.330806670178726,0.587,0.087,3.94407646732095e-142,"10","TSTD1"
"CORO1C",1.97028955693341e-146,0.384909903975,0.255,0.018,4.30587079772227e-142,"10","CORO1C"
"DDX17",1.99742943965724e-146,0.37472233605419,0.768,0.14,4.36518229742693e-142,"10","DDX17"
"FAM83H",2.56090737740689e-146,0.327410307542547,0.255,0.018,5.59660698258503e-142,"10","FAM83H"
"EDF1",2.90070513655469e-146,0.382546901489115,0.741,0.132,6.33920100542662e-142,"10","EDF1"
"CDKN1A",4.66215820023103e-146,0.832135031806176,0.799,0.148,1.01886805307849e-141,"10","CDKN1A"
"XRCC5",5.15043104893896e-146,0.260797765421923,0.61,0.094,1.12557520143512e-141,"10","XRCC5"
"TLN11",5.57714782201252e-146,0.497145304337477,0.537,0.076,1.21882988502262e-141,"10","TLN1"
"MYO6",6.96645627585192e-146,0.389903363754853,0.394,0.042,1.52244935452468e-141,"10","MYO6"
"PPM1B1",7.43087404657996e-146,0.421153516462863,0.394,0.042,1.62394321413959e-141,"10","PPM1B"
"ETHE1",8.71239587826888e-146,0.343720840749022,0.32,0.028,1.90400699523688e-141,"10","ETHE1"
"EIF2S22",1.02243931184339e-145,0.566122568369065,0.537,0.076,2.23443887210255e-141,"10","EIF2S2"
"RAB11FIP1",1.05186904610052e-145,0.499599700286124,0.664,0.11,2.29875461334807e-141,"10","RAB11FIP1"
"TMEM165",1.65033911539816e-145,0.287445314788929,0.32,0.028,3.60665110279113e-141,"10","TMEM165"
"BTF31",2.31617540559226e-145,0.540943742967043,0.861,0.171,5.06176973138132e-141,"10","BTF3"
"ANKHD1-EIF4EBP3",2.36243855808187e-145,0.29670485021724,0.355,0.035,5.16287322483212e-141,"10","ANKHD1-EIF4EBP3"
"EXT2",3.03115193898303e-145,0.385100025257019,0.309,0.026,6.62427944745351e-141,"10","EXT2"
"LAMB1",3.83137762632448e-145,0.269565335171755,0.27,0.02,8.37309266456951e-141,"10","LAMB1"
"LINC005111",4.11716126168696e-145,0.39640399457911,0.39,0.042,8.99764422129069e-141,"10","LINC00511"
"ITPA",6.79162932428058e-145,0.339907549092587,0.274,0.021,1.48424267252828e-140,"10","ITPA"
"BHLHE41",8.78732242866652e-145,0.43461665195271,0.313,0.027,1.92038144356078e-140,"10","BHLHE41"
"SF3B6",1.00500808342376e-144,0.315816102189532,0.475,0.06,2.19634466551429e-140,"10","SF3B6"
"PCBP11",1.10303325066047e-144,0.600848757103913,0.826,0.162,2.4105688659934e-140,"10","PCBP1"
"CD47",1.22331777253003e-144,0.268126233736291,0.529,0.073,2.67343866008714e-140,"10","CD47"
"LEPROT",1.32633462092127e-144,0.360589176095002,0.525,0.073,2.89857168056134e-140,"10","LEPROT"
"STX4",2.32957769060589e-144,0.307214407773666,0.32,0.028,5.09105908505011e-140,"10","STX4"
"DAZAP1",2.64139310071271e-144,0.258245717802672,0.347,0.033,5.77250048229755e-140,"10","DAZAP1"
"DHX15",3.47428708235384e-144,0.392232238818432,0.355,0.035,7.59270698977607e-140,"10","DHX15"
"EIF3F2",3.84006102984693e-144,0.498590476010843,0.475,0.061,8.39206937462748e-140,"10","EIF3F"
"CXCL11",4.04435334127639e-144,1.25896552658272,0.486,0.062,8.83852979202542e-140,"10","CXCL1"
"KIF5B",5.13930930297724e-144,0.332708994638166,0.51,0.069,1.12314465507265e-139,"10","KIF5B"
"FBXO25",5.30193836897733e-144,0.335105919635822,0.313,0.027,1.1586856111563e-139,"10","FBXO25"
"PTPN2",6.79599888199876e-144,0.447808370757703,0.32,0.029,1.48519759567201e-139,"10","PTPN2"
"PLSCR3",8.87496337678708e-144,0.252613922001876,0.32,0.028,1.93953449636305e-139,"10","PLSCR3"
